title,type,episodes,rating,score,rank,popularity,members,favorites,premiered,studio,genre
Fullmetal Alchemist: Brotherhood,TV,64,R - 17+ (violence & profanity),9.25,1.0,4,1199091,106895,Spring 2009,Bones,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
Kimi no Na wa.,Movie,1,PG-13 - Teens 13 or older,9.19,2.0,33,730076,34912,,CoMix Wave Films,"Drama, Romance"
Gintama°,TV,51,R - 17+ (violence & profanity),9.15,3.0,383,198744,5668,Spring 2015,Bandai Namco Pictures,"Action, Comedy, Historical, Sci-Fi, Shounen"
Steins;Gate 0,TV,23,PG-13 - Teens 13 or older,9.15,4.0,323,223989,1882,Spring 2018,White Fox,"Sci-Fi, Thriller"
Steins;Gate,TV,24,PG-13 - Teens 13 or older,9.14,5.0,8,1010330,92423,Spring 2011,White Fox,"Thriller, Sci-Fi"
Ginga Eiyuu Densetsu,OVA,110,R - 17+ (violence & profanity),9.11,6.0,671,124993,8567,,"Artland, Magic Bus","Sci-Fi, Drama"
Gintama&#039;,TV,51,PG-13 - Teens 13 or older,9.11,7.0,342,215527,4549,Spring 2011,Sunrise,"Action, Sci-Fi, Comedy, Historical, Shounen"
Hunter x Hunter (2011),TV,148,PG-13 - Teens 13 or older,9.11,8.0,35,720920,64375,Fall 2011,Madhouse,"Action, Adventure, Shounen"
3-gatsu no Lion 2nd Season,TV,22,PG-13 - Teens 13 or older,9.1,9.0,990,85744,2257,Fall 2017,Shaft,"Drama, Seinen, Slice of Life"
Gintama&#039;: Enchousen,TV,13,PG-13 - Teens 13 or older,9.07,10.0,685,123572,1509,Fall 2012,Sunrise,"Action, Comedy, Historical, Sci-Fi, Shounen"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,PG-13 - Teens 13 or older,9.04,11.0,826,105458,1395,,Sunrise,"Action, Sci-Fi, Comedy, Historical, Shounen"
Koe no Katachi,Movie,1,PG-13 - Teens 13 or older,9.04,12.0,77,511915,19815,,Kyoto Animation,"Drama, Shounen"
Gintama.,TV,12,PG-13 - Teens 13 or older,9.02,13.0,934,91695,1237,Winter 2017,Bandai Namco Pictures,"Action, Comedy, Historical, Sci-Fi, Shounen"
Owarimonogatari 2nd Season,TV,7,R - 17+ (violence & profanity),9.02,13.0,762,113928,2432,Summer 2017,Shaft,"Comedy, Mystery"
Clannad: After Story,TV,24,PG-13 - Teens 13 or older,9.01,14.0,55,607387,47380,Fall 2008,Kyoto Animation,"Slice of Life, Comedy, Drama, Romance"
Gintama,TV,201,PG-13 - Teens 13 or older,9.01,15.0,95,459031,33781,Spring 2006,Sunrise,"Action, Sci-Fi, Comedy, Historical, Shounen"
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,10,PG-13 - Teens 13 or older,8.99,17.0,274,252062,4154,Fall 2016,Production I.G,"Comedy, Sports, Drama, Shounen"
Code Geass: Hangyaku no Lelouch R2,TV,25,R - 17+ (violence & profanity),8.95,18.0,22,791396,44230,Spring 2008,Sunrise,"Action, Sci-Fi, Drama, Mecha"
Sen to Chihiro no Kamikakushi,Movie,1,PG - Children,8.92,19.0,39,705769,15412,,Studio Ghibli,"Adventure, Drama"
Made in Abyss,TV,13,R - 17+ (violence & profanity),8.91,20.0,178,326011,11817,Summer 2017,Kinema Citrus,"Sci-Fi, Adventure, Mystery, Drama, Fantasy"
Shigatsu wa Kimi no Uso,TV,22,PG-13 - Teens 13 or older,8.88,21.0,37,717655,39664,Fall 2014,A-1 Pictures,"Drama, Music, Romance, Shounen"
Haikyuu!! Second Season,TV,25,PG-13 - Teens 13 or older,8.87,22.0,171,333808,6571,Fall 2015,Production I.G,"Comedy, Sports, Drama, Shounen"
Kizumonogatari III: Reiketsu-hen,Movie,1,R - 17+ (violence & profanity),8.87,23.0,649,129997,1541,,Shaft,"Action, Mystery"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,PG-13 - Teens 13 or older,8.87,24.0,1107,74830,1395,Winter 2017,Studio Deen,"Drama, Historical, Josei"
Gintama.: Shirogane no Tamashii-hen,TV,12,PG-13 - Teens 13 or older,8.85,25.0,1724,42265,393,Winter 2018,Bandai Namco Pictures,"Action, Sci-Fi, Comedy, Historical, Shounen"
Mushishi Zoku Shou 2nd Season,TV,10,PG-13 - Teens 13 or older,8.83,26.0,727,118257,701,Fall 2014,Artland,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life"
Cowboy Bebop,TV,26,R - 17+ (violence & profanity),8.81,27.0,38,707773,39145,Spring 1998,Sunrise,"Action, Adventure, Comedy, Drama, Sci-Fi"
Hajime no Ippo,TV,75,PG-13 - Teens 13 or older,8.8,28.0,313,229504,10765,Fall 2000,Madhouse,"Comedy, Sports, Drama, Shounen"
Mononoke Hime,Movie,1,PG-13 - Teens 13 or older,8.8,29.0,79,507499,10689,,Studio Ghibli,"Action, Adventure, Fantasy"
Code Geass: Hangyaku no Lelouch,TV,25,R - 17+ (violence & profanity),8.79,30.0,9,986897,63614,Fall 2006,Sunrise,"Action, Sci-Fi, Drama, Mecha"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,R - 17+ (violence & profanity),8.79,31.0,481,167218,4683,,Studio Deen,"Action, Historical, Drama, Romance"
Monogatari Series: Second Season,TV,26,R - 17+ (violence & profanity),8.77,32.0,207,303614,11893,Summer 2013,Shaft,"Mystery, Comedy, Romance"
Mushishi Zoku Shou,TV,10,PG-13 - Teens 13 or older,8.77,33.0,569,145925,894,Spring 2014,Artland,"Adventure, Slice of Life, Mystery, Historical, Fantasy, Seinen"
Ookami Kodomo no Ame to Yuki,Movie,1,PG - Children,8.77,34.0,148,357883,7087,,Studio Chizu,"Slice of Life, Fantasy"
Boku no Hero Academia 2nd Season,TV,25,PG-13 - Teens 13 or older,8.76,35.0,57,583016,11671,Spring 2017,Bones,"Action, Comedy, Shounen"
Boku no Hero Academia 3rd Season,TV,25,PG-13 - Teens 13 or older,8.75,36.0,233,282743,1942,Spring 2018,Bones,"Action, Comedy, Shounen"
Great Teacher Onizuka,TV,43,R - 17+ (violence & profanity),8.74,37.0,146,361027,14087,Summer 1999,Studio Pierrot,"Comedy, Drama, Shounen, Slice of Life"
Mushishi,TV,26,PG-13 - Teens 13 or older,8.74,38.0,115,408122,17988,Fall 2005,Artland,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life"
Natsume Yuujinchou Roku,TV,11,PG-13 - Teens 13 or older,8.74,39.0,1227,66232,519,Spring 2017,Shuka,"Drama, Fantasy, Shoujo, Slice of Life"
No Game No Life: Zero,Movie,1,PG-13 - Teens 13 or older,8.74,40.0,320,225372,3008,,Madhouse,"Comedy, Fantasy"
Tengen Toppa Gurren Lagann,TV,27,PG-13 - Teens 13 or older,8.74,41.0,24,787535,50040,Spring 2007,Gainax,"Action, Adventure, Comedy, Mecha, Sci-Fi"
Hajime no Ippo: New Challenger,TV,26,PG-13 - Teens 13 or older,8.73,42.0,663,126037,1074,Winter 2009,Madhouse,"Comedy, Sports, Drama, Shounen"
Howl no Ugoku Shiro,Movie,1,G - All Ages,8.73,43.0,89,481313,9753,,Studio Ghibli,"Adventure, Drama, Fantasy, Romance"
One Punch Man,TV,12,R - 17+ (violence & profanity),8.73,44.0,5,1020754,30747,Fall 2015,Madhouse,"Action, Sci-Fi, Comedy, Seinen"
Suzumiya Haruhi no Shoushitsu,Movie,1,PG-13 - Teens 13 or older,8.73,45.0,181,323704,8525,,Kyoto Animation,"Comedy, Mystery, Romance, Sci-Fi"
Natsume Yuujinchou Shi,TV,13,PG-13 - Teens 13 or older,8.72,46.0,633,132405,1394,Winter 2012,Brain&#039;s Base,"Slice of Life, Drama, Fantasy, Shoujo"
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,PG-13 - Teens 13 or older,8.71,47.0,1432,55411,124,,Artland,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life"
Kizumonogatari II: Nekketsu-hen,Movie,1,R - 17+ (violence & profanity),8.69,48.0,612,136327,771,,Shaft,"Action, Mystery"
Monster,TV,74,R+ - Mild Nudity,8.69,49.0,152,353310,17399,Spring 2004,Madhouse,"Drama, Horror, Mystery, Psychological, Seinen, Thriller"
Bakuman. 3rd Season,TV,25,PG-13 - Teens 13 or older,8.67,50.0,426,182765,2082,Fall 2012,J.C.Staff,"Comedy, Drama, Romance, Shounen"
Death Note,TV,37,R - 17+ (violence & profanity),8.67,51.0,1,1456378,88696,Fall 2006,Madhouse,"Mystery, Psychological, Thriller, Shounen"
Saiki Kusuo no Ψ-nan (TV) 2,TV,24,PG-13 - Teens 13 or older,8.67,52.0,1319,61570,473,Winter 2018,"J.C.Staff, Egg Firm","Slice of Life, Comedy, Shounen"
Ansatsu Kyoushitsu 2nd Season,TV,25,PG-13 - Teens 13 or older,8.66,53.0,134,380565,6715,Winter 2016,Lerche,"Action, Comedy, Shounen"
Fate/Zero 2nd Season,TV,12,R - 17+ (violence & profanity),8.66,54.0,81,500077,10953,Spring 2012,ufotable,"Action, Fantasy"
Hajime no Ippo: Rising,TV,25,PG-13 - Teens 13 or older,8.66,55.0,845,102952,650,Fall 2013,"Madhouse, MAPPA","Comedy, Sports, Drama, Shounen"
Pingu in the City,TV,26,G - All Ages,8.66,56.0,2546,21890,634,Fall 2017,Polygon Pictures,"Slice of Life, Comedy, Kids"
Haikyuu!!,TV,25,PG-13 - Teens 13 or older,8.65,57.0,86,483501,23743,Spring 2014,Production I.G,"Comedy, Drama, Shounen, Sports"
Natsume Yuujinchou San,TV,13,PG-13 - Teens 13 or older,8.65,58.0,596,139161,983,Summer 2011,Brain&#039;s Base,"Drama, Fantasy, Shoujo, Slice of Life"
Ping Pong The Animation,TV,11,PG-13 - Teens 13 or older,8.65,58.0,563,146861,7036,Spring 2014,Tatsunoko Production,"Sports, Psychological, Drama, Seinen"
Sora yori mo Tooi Basho,TV,13,PG-13 - Teens 13 or older,8.65,60.0,765,113465,2494,Winter 2018,Madhouse,"Slice of Life, Adventure"
Yojouhan Shinwa Taikei,TV,11,R - 17+ (violence & profanity),8.65,61.0,421,183571,9442,Spring 2010,Madhouse,"Mystery, Comedy, Psychological, Romance"
Mushishi Special: Hihamukage,Special,1,PG-13 - Teens 13 or older,8.64,62.0,1201,67787,100,,Artland,"Adventure, Slice of Life, Mystery, Historical, Fantasy, Seinen"
Natsume Yuujinchou Go,TV,11,PG-13 - Teens 13 or older,8.64,63.0,1038,80448,459,Fall 2016,Shuka,"Slice of Life, Drama, Fantasy, Shoujo"
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,R - 17+ (violence & profanity),8.63,64.0,432,181435,7188,Spring 2016,David Production,"Action, Adventure, Comedy, Drama, Shounen"
Kara no Kyoukai 5: Mujun Rasen,Movie,1,R - 17+ (violence & profanity),8.63,65.0,594,139495,2994,,ufotable,"Action, Mystery, Drama, Romance, Thriller"
